time;Storage_PV6_H0-C;Storage_PV5_H0-L;Storage_PV5_G4-B;Storage_PV8_H0-B;Storage_PV2_H0-G;Storage_PV2_H0-B;Storage_PV5_H0-B;Storage_PV8_G5-A;lv_rural3;lv_semiurb4;lv_semiurb5
01.01.2016 00:00;0.237082;0.053517;0.21978;0.065826;0.084229;0.065826;0.065826;0.080233;0.163998;0.276685;0.114542
01.01.2016 00:15;0.066869;0.019878;0.097331;0.190476;0.159498;0.190476;0.190476;0.074402;0.108222;0.066011;0.128736
01.01.2016 00:30;0.06383;0.021407;0.084772;0.168067;0.163082;0.168067;0.168067;0.075802;0.139007;0.206461;0.11876
01.01.2016 00:45;0.06535;0.01682;0.078493;0.113445;0.181004;0.113445;0.113445;0.078717;0.103426;0.127809;0.099983
01.01.2016 01:00;0.075988;0.027523;0.078493;0.134454;0.243728;0.134454;0.134454;0.084548;0.113759;0.108146;0.118319
01.01.2016 01:15;0.074468;0.019878;0.073783;0.141457;0.318996;0.141457;0.141457;0.077318;0.125346;0.103933;0.127553
01.01.2016 01:30;0.06231;0.022936;0.081633;0.10084;0.193676;0.10084;0.10084;0.068571;0.089536;0.117978;0.095314
01.01.2016 01:45;0.06383;0.036697;0.081633;0.092437;0.277778;0.092437;0.092437;0.08898;0.117979;0.094101;0.106973
01.01.2016 02:00;0.053191;0.027523;0.080063;0.088235;0.064461;0.088235;0.088235;0.068571;0.069422;0.08427;0.073682
01.01.2016 02:15;0.048632;0.024465;0.080063;0.088235;0.268817;0.088235;0.088235;0.075802;0.106663;0.078652;0.099299
01.01.2016 02:30;0.041033;0.010703;0.076923;0.088235;0.290891;0.088235;0.088235;0.086064;0.108684;0.082865;0.101917
01.01.2016 02:45;0.074468;0.015395;0.080063;0.07423;0.290323;0.07423;0.07423;0.078717;0.101038;0.043539;0.099868
01.01.2016 03:00;0.06383;0.008502;0.073783;0.085434;0.300191;0.085434;0.085434;0.075802;0.103235;0.039326;0.102205
01.01.2016 03:15;0.06079;0.000776;0.080063;0.078431;0.265233;0.078431;0.078431;0.080233;0.094361;0.032303;0.096425
01.01.2016 03:30;0.066869;0.018349;0.072214;0.070028;0.231671;0.070028;0.070028;0.077318;0.077697;0.022472;0.088872
01.01.2016 03:45;0.06079;0.005;0.080063;0.071429;0.261649;0.071429;0.071429;0.078717;0.089647;0.025281;0.093258
01.01.2016 04:00;0.069909;0.009625;0.075353;0.070028;0.320487;0.070028;0.070028;0.072886;0.108734;0.042135;0.099371
01.01.2016 04:15;0.075988;0.025994;0.083203;0.068627;0.175627;0.068627;0.068627;0.080233;0.092799;0.088483;0.085168
