,HourDK,SpotPurchase,SpotSale,SpotPriceEUR,ElbasAveragePriceEUR,ElbasMaxPriceEUR,ElbasMinPriceEUR
0,2019-03-21 00:00:00,651.9,1629.6,35.47,35.28,35.85,34.88
1,2019-03-21 01:00:00,615.6,1747.7,34.7,34.55,35.72,33.7
2,2019-03-21 02:00:00,557.8,1896.7,33.51,33.11,33.62,32.4
3,2019-03-21 03:00:00,530.9,2318.3,33.04,33.58,34.89,32.4
4,2019-03-21 04:00:00,564.3,2524.4,33.1,34.17,35.0,33.25
5,2019-03-21 05:00:00,545.5,2414.2,35.93,36.81,37.8,34.2
6,2019-03-21 06:00:00,1414.3,2083.0,44.03,44.51,45.7,43.8
7,2019-03-21 07:00:00,1919.9,2081.4,43.1,39.98,41.0,39.52
8,2019-03-21 08:00:00,1595.2,2028.1,44.91,44.49,48.0,41.8
9,2019-03-21 09:00:00,864.0,2496.9,41.28,37.39,43.95,35.6
10,2019-03-21 10:00:00,774.2,3189.6,38.5,34.61,36.21,32.81
11,2019-03-21 11:00:00,826.5,3356.5,36.84,30.84,32.75,30.01
12,2019-03-21 12:00:00,857.6,3341.3,35.43,29.72,34.0,27.9
13,2019-03-21 13:00:00,858.7,3312.7,34.5,30.69,33.3,27.5
14,2019-03-21 14:00:00,844.3,2910.5,34.61,29.22,32.9,26.79
15,2019-03-21 15:00:00,830.6,2316.0,36.81,33.52,35.52,31.1
16,2019-03-21 16:00:00,837.2,1623.3,39.27,35.1,37.15,34.3
17,2019-03-21 17:00:00,2167.4,1753.5,43.4,43.98,45.9,41.1
18,2019-03-21 18:00:00,2587.3,1691.6,46.7,49.65,52.0,45.02
19,2019-03-21 19:00:00,2905.4,1614.0,41.72,43.53,50.0,40.1
20,2019-03-21 20:00:00,2801.5,1542.6,40.99,41.66,44.5,37.8
21,2019-03-21 21:00:00,2727.0,1489.7,41.49,39.43,45.9,37.3
22,2019-03-21 22:00:00,2545.1,1460.7,41.94,43.63,45.0,42.88
23,2019-03-21 23:00:00,1635.5,1098.5,39.28,41.16,43.0,39.5
24,2019-03-22 00:00:00,1480.4,1181.7,39.0,35.59,36.2,35.21
